Date,Actual_Sales,Predicted_Sales
2016-01-26,105,167.37623251965428
2016-01-27,129,155.67413602565392
2016-01-28,144,157.65884685136228
2016-01-29,173,176.277505157508
2016-01-30,293,176.1202326168847
2016-01-31,219,176.15892891428828
2016-02-01,131,173.5187897722101
2016-02-02,184,170.78946300527267
2016-02-03,266,169.89120161925098
2016-02-04,98,171.64503666376208
2016-02-05,67,172.40171304446284
2016-02-06,85,172.65188486471823
2016-02-07,78,172.50324967110473
2016-02-08,71,172.12406116135003
2016-02-09,113,171.8566047471495
2016-02-10,138,171.94528250069934
2016-02-11,98,172.07332842848365
2016-02-12,96,172.14924087477996
2016-02-13,190,172.16648047420642
2016-02-14,105,172.13142749539693
2016-02-15,25,172.08557102262122
2016-02-16,47,172.07633983547342
2016-02-17,63,172.08759480678896
2016-02-18,39,172.10046344178667
2016-02-19,35,172.10783308995286
2016-02-20,77,172.1070880986234
2016-02-21,60,172.1015212431926
2016-02-22,52,172.09810535152138
2016-02-23,51,172.09801080796373
2016-02-24,37,172.09940491553823
2016-02-25,42,172.10081129540671
2016-02-26,89,172.1013301780331
2016-02-27,217,172.10091578750738
2016-02-28,197,172.10034929641682
2016-02-29,81,172.10010628306722
2016-03-01,58,172.10016212734254
2016-03-02,120,172.1003427867415
2016-03-03,64,172.10047817672228
2016-03-04,64,172.10048830760857
2016-03-05,76,172.1004277353011
2016-03-06,86,172.10037514203796
2016-03-07,98,172.10035958849937
2016-03-08,53,172.10037332903354
2016-03-09,38,172.1003944413101
2016-03-10,46,172.10040449743335
2016-03-11,45,172.1004017938809
2016-03-12,67,172.10039471282695
2016-03-13,52,172.1003900116253
2016-03-14,24,172.1003895841787
2016-03-15,51,172.10039179154091
2016-03-16,127,172.10039386212574
2016-03-17,75,172.1003944196052
2016-03-18,62,172.10039384992095
2016-03-19,128,172.10039308182346
2016-03-20,138,172.10039271126192
2016-03-21,74,172.10039280513604
2016-03-22,73,172.10039307950325
2016-03-23,100,172.1003932574064
2016-03-24,71,172.10039326712933
2016-03-25,99,172.1003931844597
2016-03-26,102,172.1003931079352
2016-03-27,57,172.10039308641987
2016-03-28,23,172.10039310850848
2016-03-29,35,172.10039313790938
2016-03-30,59,172.10039315128847
2016-03-31,41,172.10039314754286
2016-04-01,68,172.10039313732312
2016-04-02,84,172.10039313060022
2016-04-03,42,172.10039313028642
2016-04-04,95,172.10039313348588
2016-04-05,85,172.10039313633717
2016-04-06,102,172.10039313710686
2016-04-07,111,172.1003931362737
2016-04-08,113,172.10039313516344
2016-04-09,208,172.10039313466288
2016-04-10,148,172.1003931348158
2016-04-11,123,172.10039313520238
2016-04-12,62,172.10039313545124
2016-04-13,129,172.10039313546125
2016-04-14,102,172.10039313533977
2016-04-15,110,172.10039313523222
2016-04-16,202,172.10039313520454
2016-04-17,144,172.1003931352367
2016-04-18,84,172.1003931352783
2016-04-19,127,172.10039313529686
2016-04-20,181,172.1003931352909
2016-04-21,268,172.10039313527622
2016-04-22,278,172.10039313526696
2016-04-23,234,172.1003931352667
2016-04-24,133,172.1003931352713
2016-04-25,91,172.10039313527534
2016-04-26,83,172.10039313527636
2016-04-27,139,172.1003931352751
2016-04-28,113,172.10039313527355
2016-04-29,141,172.10039313527287
2016-04-30,228,172.1003931352731
2016-05-01,163,172.10039313527366
2016-05-02,0,172.100393135274
2016-05-03,125,172.100393135274
2016-05-04,180,172.10039313527383
2016-05-05,222,172.1003931352737
2016-05-06,243,172.10039313527366
2016-05-07,408,172.10039313527372
2016-05-08,181,172.10039313527378
2016-05-09,176,172.1003931352738
2016-05-10,178,172.1003931352738
2016-05-11,310,172.10039313527378
2016-05-12,134,172.10039313527378
2016-05-13,132,172.10039313527378
2016-05-14,1,172.10039313527378
2016-05-15,0,172.10039313527378
2016-05-16,0,172.10039313527378
2016-05-17,0,172.10039313527378
2016-05-18,110,172.10039313527378
2016-05-19,81,172.10039313527378
2016-05-20,112,172.10039313527378
2016-05-21,186,172.10039313527378
2016-05-22,113,172.10039313527378
2016-05-23,86,172.10039313527378
2016-05-24,59,172.10039313527378
2016-05-25,94,172.10039313527378
2016-05-26,167,172.10039313527378
2016-05-27,244,172.10039313527378
2016-05-28,261,172.10039313527378
2016-05-29,187,172.10039313527378
2016-05-30,115,172.10039313527378
2016-05-31,139,172.10039313527378
2016-06-01,273,172.10039313527378
2016-06-02,235,172.10039313527378
2016-06-03,172,172.10039313527378
2016-06-04,323,172.10039313527378
2016-06-05,336,172.10039313527378
2016-06-06,127,172.10039313527378
2016-06-07,137,172.10039313527378
2016-06-08,249,172.10039313527378
2016-06-09,201,172.10039313527378
2016-06-10,271,172.10039313527378
2016-06-11,512,172.10039313527378
2016-06-12,317,172.10039313527378
2016-06-13,224,172.10039313527378
2016-06-14,239,172.10039313527378
2016-06-15,377,172.10039313527378
2016-06-16,239,172.10039313527378
2016-06-17,243,172.10039313527378
2016-06-18,438,172.10039313527378
2016-06-19,334,172.10039313527378
2016-06-20,149,172.10039313527378
2016-06-21,32,172.10039313527378
2016-06-22,39,172.10039313527378
2016-06-23,42,172.10039313527378
2016-06-24,64,172.10039313527378
2016-06-25,170,172.10039313527378
2016-06-26,132,172.10039313527378
2016-06-27,123,172.10039313527378
2016-06-28,78,172.10039313527378
2016-06-29,130,172.10039313527378
2016-06-30,141,172.10039313527378
2016-07-01,247,172.10039313527378
2016-07-02,322,172.10039313527378
2016-07-03,196,172.10039313527378
2016-07-04,172,172.10039313527378
2016-07-05,218,172.10039313527378
2016-07-06,216,172.10039313527378
2016-07-07,179,172.10039313527378
2016-07-08,32,172.10039313527378
2016-07-09,95,172.10039313527378
2016-07-10,78,172.10039313527378
2016-07-11,122,172.10039313527378
2016-07-12,164,172.10039313527378
2016-07-13,288,172.10039313527378
2016-07-14,138,172.10039313527378
2016-07-15,189,172.10039313527378
2016-07-16,321,172.10039313527378
2016-07-17,209,172.10039313527378
2016-07-18,161,172.10039313527378
2016-07-19,157,172.10039313527378
2016-07-20,283,172.10039313527378
2016-07-21,60,172.10039313527378
2016-07-22,98,172.10039313527378
2016-07-23,133,172.10039313527378
2016-07-24,130,172.10039313527378
2016-07-25,62,172.10039313527378
2016-07-26,97,172.10039313527378
2016-07-27,98,172.10039313527378
2016-07-28,108,172.10039313527378
2016-07-29,128,172.10039313527378
2016-07-30,270,172.10039313527378
2016-07-31,183,172.10039313527378
